company_id;company_name
addies;Addies
alina;Alina Services Corp
allied;Allied Transit Corp.
all american;All American School Bus
all county;All County Bus LLC
another;Another Ride Inc.
b & f;B & F Skilled Inc.
bobby;Bobby’s Bus Co.
boro;Boro Transit Inc.
careful;Careful Bus
consolidated;Consolidated Bus Trans. Inc.
children's;Children’s Transportation
don thomas;Don Thomas Buses Inc.
empire charter;Empire Charter Service Inc.
empire state;Empire State Bus Corp.
first steps;First Steps Transportation Inc.
fortuna;Fortuna Bus Company
grandpa's;Grandpa’s Bus Co. Inc.
g\\.v\\.c\\.;G.V.C. LTD
happy day;Happy Day Transit
hoyt;Hoyt Transportation Corp
ic;IC Bus Inc.
i & y;I & Y Transit Corp
jofaz;Jofaz Transportation Inc.
l & m;L & M Bus Corp.
leesel;Leesel Transportation Corp.
little linda;Little Linda Bus Co. Inc.
little lisa;Little Lisa Bus Co. Inc.
little richie;Little Richie Bus Service
logan;Logan Bus Company Inc.
lorinda;Lorinda Ent. Ltd.
lorissa;Lorissa Bus Service Inc.
mar-can;Mar-Can Transportation
mjt;M.J.T. Bus Company
new dawn;New Dawn Transit LLC
penny;Penny Transportation
philips;Philips Bus Service
phillip;Phillip Bus Corp.
pioneer;Pioneer Transportation
pride;Pride Transportation Services
quality;Quality Transportation Corp.
reliant;Reliant Transportation Inc.
royal;Royal Express Line
selby;Selby Transportation Corp.
smart pick;Smart Pick
snt;SNT Bus Inc.
third;Third Avenue Transit
thomas;Thomas Buses Inc.
van;Van Trans LLC
vinny;Vinny’s Bus Service
y & m;Y & M Transit Corp.